treatment,condition,replicate,generation,bias,population,mean_d,std_d,mean_alpha,std_alpha,mean_beta,std_beta,mean_p_base,std_p_base,maladaptation,trait_variance,trait_env_corr
moving,neg_const,673832567,0,-0.3,900,3.4644444444444447,1.717188342165511,2.424757581396897,1.4330042968839294,1.0057650324629466,0.569476995258402,0.2455467977965824,0.14481386642562172,0.2167900793084096,0.08107670654786774,-0.052405718602860855
moving,neg_const,673832567,5,-0.3,900,3.2622222222222224,1.641176933909035,2.423282608370344,1.4197430005632046,1.0335514810298823,0.5535103432187493,0.27648914420091114,0.14727055757867805,0.14578357959821978,0.07782847261607997,0.28922329597764734
moving,neg_const,673832567,10,-0.3,900,3.07,1.5813461213648188,2.441058192541351,1.3728160551239952,1.0314512963739535,0.547831924780096,0.3006194191946402,0.1525640361046177,0.10693674391350293,0.07915769804721123,0.48926175067756267
moving,neg_const,673832567,15,-0.3,900,2.821111111111111,1.5144485204151559,2.4582175579037644,1.3497448948953352,0.9848756172842688,0.5672719368464014,0.32967244086978514,0.15353318970095695,0.09004217508871927,0.08068615781223125,0.5765474392943398
moving,neg_const,673832567,20,-0.3,900,2.6911111111111112,1.4337708204005613,2.5606357298589812,1.3292453571943346,0.9962353519696904,0.5542369108131272,0.35466772523291484,0.15147635830848008,0.08937904490430477,0.08550089872078367,0.5887246808885931
moving,neg_const,673832567,25,-0.3,900,2.6255555555555556,1.401908311402799,2.624667313579935,1.3289793157350827,1.02550524029189,0.5587124878506253,0.3841949258493744,0.1512922059590066,0.09970361271433556,0.0872198854823252,0.5403298109842509
moving,neg_const,673832567,30,-0.3,900,2.6066666666666665,1.3971240301260142,2.7125323126814087,1.3222980772716084,1.0417221166964326,0.5531188736304297,0.392906059499354,0.14623086005144234,0.11279128487321989,0.09085905373619267,0.48419006886193083
moving,neg_const,673832567,35,-0.3,900,2.5444444444444443,1.3675697106839735,2.7394869478687047,1.3649857960324527,1.0395457384253073,0.5412221137070847,0.4061353440954783,0.14678801254704107,0.12101331956576422,0.09009247570521092,0.44360171503818013
moving,neg_const,673832567,40,-0.3,900,2.522222222222222,1.3210078456977694,2.7147868188565725,1.3996890518994562,1.0553529000726496,0.5531753596121279,0.4151412914387321,0.15204459474027543,0.12981679135900365,0.08970734772961714,0.4009350786335478
moving,neg_const,673832567,45,-0.3,900,2.49,1.2582660026136498,2.736523028255361,1.4307243391426125,1.0446626027596537,0.5518076328304989,0.43089779197178935,0.15176360303113215,0.14043298641263094,0.08856540684946775,0.3475314898380317
moving,neg_const,673832567,50,-0.3,900,2.4588888888888887,1.1876582415684371,2.6795737652282323,1.4697816416066212,1.061499498023241,0.5733496235878534,0.45002102439410574,0.1568142669933242,0.14424289050192746,0.09068317406262057,0.33551203006339503
moving,neg_const,673832567,55,-0.3,900,2.453333333333333,1.1348225509841714,2.615076870172466,1.4834612241256533,1.0879308586152308,0.5794609229792765,0.4613350385481163,0.1566983967201873,0.1469179000097302,0.0944993819186386,0.333919958791537
moving,neg_const,673832567,60,-0.3,900,2.4477777777777776,1.0638220170454349,2.566489211839455,1.5335822486306023,1.08719360035041,0.5878119119093682,0.4817397119655823,0.15895048125084624,0.14923925430701357,0.09407752862598107,0.32204092086489716
moving,neg_const,673832567,65,-0.3,900,2.442222222222222,1.0044321533171288,2.457315446172394,1.541065645552187,1.0869962549052266,0.5771555407077195,0.4950633419822887,0.16018082148941604,0.15122263740886283,0.08918128519010107,0.29828517626345774
moving,neg_const,673832567,70,-0.3,900,2.457777777777778,0.9645929225185303,2.2796622901234294,1.5854005855776299,1.0834243862684507,0.5962737934961432,0.512299092662003,0.16069317090236718,0.14472053228021353,0.09320442363910326,0.34041378082250157
moving,neg_const,673832567,75,-0.3,900,2.528888888888889,0.927510939671267,2.144351027589396,1.6011576011161028,1.0348953198625943,0.6034887493000396,0.5322079098906424,0.1602285809151498,0.14243850232455768,0.09793449562791896,0.3642010447285793
moving,neg_const,673832567,80,-0.3,900,2.562222222222222,0.885384759773685,2.0262456067732977,1.596107012073849,1.0074131557309771,0.6048636683014535,0.548993901535006,0.16343080898227644,0.14110477206007022,0.09962867188640694,0.3751419165866855
moving,neg_const,673832567,85,-0.3,900,2.5766666666666667,0.891758562242793,2.026737986635041,1.6318955204977816,0.9972575183916517,0.6011824122604208,0.5689965411587786,0.16071550493494474,0.1367378704942966,0.0994187030724542,0.3932698104968495
moving,neg_const,673832567,90,-0.3,900,2.608888888888889,0.8552640195927084,1.95259014641278,1.5920750010305509,0.9956440783473158,0.61808589742248,0.5904417970317465,0.16769018864391605,0.13523768481976356,0.10153019045819399,0.4051953208785005
moving,neg_const,673832567,95,-0.3,900,2.6366666666666667,0.8577684225166292,1.9128938459046216,1.570170509141085,0.9801733858224984,0.6192501989210529,0.6027398278949626,0.16483656485055642,0.13195043778479926,0.10054162561624883,0.4179832018130106
moving,neg_const,673832567,100,-0.3,900,2.6433333333333335,0.8396493977316432,1.8550451959383958,1.5353468212657766,0.9764499575001085,0.6193875545382457,0.617720998406456,0.16625015117628822,0.13951474258182364,0.09765677438604049,0.3767584743667852
moving,neg_const,673832567,105,-0.3,900,2.5766666666666667,0.8271168129244032,1.843016550775477,1.4756981741916113,0.9617979083812799,0.6070511009544892,0.6359248276811237,0.16939086094519853,0.1384791675902671,0.0928812393857536,0.36886560205228563
moving,neg_const,673832567,110,-0.3,900,2.5233333333333334,0.8086408349817612,1.8753133864275857,1.4291285437245898,0.9324696848554087,0.5892886019399121,0.6498175510662815,0.1691268698970588,0.14076276054613385,0.09383207067850428,0.36074877974142333
moving,neg_const,673832567,115,-0.3,900,2.4644444444444447,0.7643895329115197,1.9525347426344228,1.4520496147784405,0.9306793373032262,0.5717012280795806,0.6561220237132133,0.17331065323363398,0.14285234151774587,0.08940439467588078,0.33927202569964504
moving,neg_const,673832567,120,-0.3,900,2.4055555555555554,0.7475680736169503,2.108689628002244,1.470933970975762,0.9057977877933066,0.5462406409842812,0.6747203426194027,0.17288204596219162,0.13607097982957547,0.08761959202799048,0.367539771283647
moving,neg_const,673832567,125,-0.3,900,2.3777777777777778,0.7480014524314149,2.16901918489144,1.5108974919713982,0.9012638710876631,0.5349710770700747,0.6929565476895737,0.17371602185220444,0.14025802544935395,0.08721481387615776,0.3452615532378811
moving,neg_const,673832567,130,-0.3,900,2.36,0.7298097164482138,2.325821464077699,1.538150961478282,0.899165875231933,0.5178434058535091,0.7091406009693009,0.1753318404850448,0.1382765847033017,0.08259668283026972,0.34186840422049747
moving,neg_const,673832567,135,-0.3,900,2.328888888888889,0.7262146062432149,2.577810602730758,1.562191048817155,0.9254244749360864,0.5155396921894317,0.7254355631550844,0.18025435343932825,0.1374881422533281,0.08165026302592297,0.34303962431450125
moving,neg_const,673832567,140,-0.3,900,2.307777777777778,0.7053332983266811,2.7411771906081532,1.576099831954667,0.961563401779414,0.5164117350205856,0.7409476001417119,0.1829344307225592,0.12744917243163273,0.08081848462162734,0.38989939191713785
moving,neg_const,193887049,0,-0.3,900,3.4833333333333334,1.7077438007174521,2.4579825358631013,1.4414302515599438,1.0341190510484848,0.5739092291658738,0.25617251099834193,0.1457443171025025,0.2067466419884163,0.08264729142745543,0.004822270434547071
moving,neg_const,193887049,5,-0.3,900,3.201111111111111,1.6064449670308552,2.442432467870484,1.4332645680659872,1.0917021452566587,0.577299405918473,0.2941419977689513,0.1427176450761547,0.14190130419529165,0.08103490501925428,0.3192793841793596
moving,neg_const,193887049,10,-0.3,900,2.9755555555555557,1.5097690118477736,2.4670580919342333,1.4051852910214604,1.1096754717456996,0.5678154624735314,0.32193560957472994,0.14565678336953689,0.10682428721734898,0.0842252090294108,0.5005014240881054
