r,epsilon,n,horizon,seed,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,parity,wall_spectral_entropy,max_cluster_lifetime,atlas_score
3.8625,0.132,80,720,101,4,0.9104652132741092,0.1438233092251369,0.7888661837412558,0.0001029335609097,2.2989889263360617e-05,0.7887632501803461,0.3939535924242565,0,0.0
3.8625,0.132,80,720,101,6,0.9104652132741092,0.1438233092251369,0.7259546891816347,0.0,0.0,0.7259546891816347,0.3939535924242565,0,0.0
3.8625,0.132,80,720,707,4,0.903977072200601,0.1505117610948156,0.757938392616215,0.0001138746829567,0.0,0.7578245179332582,0.4297071510153167,1,0.0026292444418103
3.8625,0.132,80,720,707,6,0.903977072200601,0.1505117610948156,0.6887013245367131,1.6155299329033938e-05,0.0,0.688685169237384,0.4297071510153167,1,0.0025585135378539
3.8625,0.132,80,720,1313,4,0.927603076585657,0.1115458232288907,0.817168375639185,0.0009755454033166,0.0006100563397282,0.8161928302358683,0.3828752449504814,0,0.0
3.8625,0.132,80,720,1313,6,0.927603076585657,0.1115458232288907,0.763154004729637,0.0,8.11730819586279e-06,0.763154004729637,0.3828752449504814,0,0.0
3.8625,0.132,120,360,101,4,0.9049901903651904,0.1423044750834079,0.7617654747805958,0.0006693269403291,3.1173687423687426e-05,0.7610961478402666,0.5794519018426122,3,0.0085739950996954
3.8625,0.132,120,360,101,6,0.9049901903651904,0.1423044750834079,0.6935045261638004,0.0,0.0,0.6935045261638004,0.5794519018426122,3,0.0084413947167388
3.8625,0.132,120,360,707,4,0.881489900220747,0.1787485663085045,0.6956242707785046,0.0006083809180085,6.275970892906377e-05,0.695015889860496,0.5458398656734295,4,0.0119652958884653
3.8625,0.132,120,360,707,6,0.881489900220747,0.1787485663085045,0.6074172174152013,0.0,0.0,0.6074172174152013,0.5458398656734295,4,0.0085339662276307
3.8625,0.132,120,360,1313,4,0.8931527229490939,0.1657923280146431,0.7382934173801109,0.0001794232266061,0.0,0.7381139941535048,0.5637933770886436,50,0.0736038551980952
3.8625,0.132,120,360,1313,6,0.8931527229490939,0.1657923280146431,0.66329946263414,0.0,0.0,0.66329946263414,0.5637933770886436,50,0.0671721860600737
3.8625,0.132,120,720,101,4,0.9134673322235398,0.1330344357904073,0.7864673328162626,0.0004171248170341,6.204700748943916e-05,0.7860502079992284,0.5274488368811584,3,0.0080929101758135
3.8625,0.132,120,720,101,6,0.9134673322235398,0.1330344357904073,0.7272856436926283,0.0,0.0,0.7272856436926283,0.5274488368811584,3,0.0080929101758135
3.8625,0.132,120,720,707,4,0.8958417545550608,0.1640572648362407,0.7388983998362229,0.0002264733366426,2.964205718361105e-05,0.7386719264995802,0.3983074880187594,2,0.0052969631985301
3.8625,0.132,120,720,707,6,0.8958417545550608,0.1640572648362407,0.6634175479681564,0.0,0.0,0.6634175479681564,0.3983074880187594,2,0.0048355920029952
3.8625,0.132,120,720,1313,4,0.9027984348613544,0.1556371885054836,0.7657419813343427,6.714839938979136e-05,0.0,0.7656748329349529,0.4276509661753975,1,0.0026361809373932
3.8625,0.132,120,720,1313,6,0.9027984348613544,0.1556371885054836,0.6983862675147949,0.0,0.0,0.6983862675147949,0.4276509661753975,1,0.0026260521497371
3.8625,0.132,160,360,101,4,0.9013438777284544,0.15442052182382446,0.7626929913164792,0.0002510109179895745,6.013677183032022e-05,0.7624419803984895,0.4972832731048703,2,0.005521141768469061
3.8625,0.132,160,360,101,6,0.9013438777284544,0.15442052182382446,0.6954795878684488,1.0638297872340426e-05,0.0,0.6954689495705765,0.4972832731048703,2,0.0054617183488733425
3.8625,0.132,160,360,707,4,0.8952134550597253,0.17256098852190763,0.7389216001572352,6.831440338735889e-05,0.0,0.7388532857538478,0.21556899216783962,3,0.007063707322744885
3.8625,0.132,160,360,707,6,0.8952134550597253,0.17256098852190763,0.6614074958139977,0.0,0.0,0.6614074958139977,0.21556899216783962,3,0.0064146450503122015
3.8625,0.132,160,360,1313,4,0.8811712786541417,0.1877269123471552,0.7030074716110503,0.00019609147179303117,0.0,0.7028113801392573,0.2628991905228603,1,0.0025415636985895045
3.8625,0.132,160,360,1313,6,0.8811712786541417,0.1877269123471552,0.6210434997630058,5.319148936170213e-06,0.0,0.6210381806140696,0.2628991905228603,1,0.0019309474346209125
3.8625,0.132,160,720,101,4,0.9103558327091253,0.1459371347568883,0.7889585897446612,0.0001041606303807216,2.5660639924317297e-05,0.7888544291142804,0.43163454908239174,2,0.005153853914948289
3.8625,0.132,160,720,101,6,0.9103558327091253,0.1459371347568883,0.7296421235570346,4.201680672268908e-06,0.0,0.7296379218763623,0.43163454908239174,2,0.005153853914948289
3.8625,0.132,160,720,707,4,0.896003631369711,0.17223423256774423,0.7435605475147853,2.3947227045273966e-05,0.0,0.74353660028774,0.15537287902584526,3,0.006750826003391442
3.8625,0.132,160,720,707,6,0.896003631369711,0.17223423256774423,0.6690583706982794,0.0,0.0,0.6690583706982794,0.15537287902584526,3,0.00625348896606441
3.8625,0.132,160,720,1313,4,0.8839004570159112,0.1831343551081688,0.7162346324453525,0.00017773516438833237,2.0948588524343568e-05,0.7160568972809641,0.29520010386231765,3,0.007725299946364033
3.8625,0.132,160,720,1313,6,0.8839004570159112,0.1831343551081688,0.6388907817399488,2.100840336134454e-06,0.0,0.6388886808996127,0.29520010386231765,3,0.006438285485557367
3.8625,0.132,240,360,101,4,0.9041487260499357,0.1482614024720402,0.7517339577984739,0.00023401280640838735,4.2496761750794015e-05,0.7514999449920655,0.5233245169488474,3,0.008330024075896225
3.8625,0.132,240,360,101,6,0.9041487260499357,0.1482614024720402,0.6782482880023203,3.546099290780142e-06,0.0,0.6782447419030295,0.5233245169488474,3,0.007898613874389957
3.8625,0.132,240,360,707,4,0.9001771436448855,0.1567238487728646,0.7482367590406904,9.940761740831938e-05,0.0,0.7481373514232821,0.42130603517236526,3,0.007945982480917019
3.8625,0.132,240,360,707,6,0.9001771436448855,0.1567238487728646,0.66643457858226,0.0,0.0,0.66643457858226,0.42130603517236526,3,0.007310958074845685
3.8625,0.132,240,360,1313,4,0.9001859691607675,0.15314966651675604,0.7489999150714877,0.0004512647728204881,3.090636961604704e-05,0.7485486502986671,0.5214225218869697,13,0.03652902192016927
3.8625,0.132,240,360,1313,6,0.9001859691607675,0.15314966651675604,0.6726944081344284,0.0,0.0,0.6726944081344284,0.5214225218869697,13,0.034154149149215315
3.8625,0.132,240,720,101,4,0.910332411415073,0.1427826406772922,0.7748165165247037,0.00022821817478719123,2.4572833322451203e-05,0.7745882983499165,0.5139437987327465,3,0.008116167315958973
3.8625,0.132,240,720,101,6,0.910332411415073,0.1427826406772922,0.7091483442617001,1.4005602240896359e-06,0.0,0.709146943701476,0.5139437987327465,3,0.008116167315958973
3.8625,0.132,240,720,707,4,0.9073206645462953,0.15117331316079502,0.7729294987410362,4.079779511148419e-05,0.0,0.7728887009459248,0.36104603280736186,2,0.004984339076760775
3.8625,0.132,240,720,707,6,0.9073206645462953,0.15117331316079502,0.7014040963804667,0.0,0.0,0.7014040963804667,0.36104603280736186,2,0.004984339076760775
3.8625,0.132,240,720,1313,4,0.9086334688503672,0.1436487740407724,0.7743590784529489,0.00020957595432324563,1.3030167024030654e-05,0.7741495024986257,0.39629518867255253,3,0.007609496615704365
3.8625,0.132,240,720,1313,6,0.9086334688503672,0.1436487740407724,0.705550999909222,0.0,0.0,0.705550999909222,0.39629518867255253,3,0.007609496615704365
